osm_id,osm_type,building_material,addr_housenumber,name,roof_material,addr_street,building,access_roof,longitude,latitude,geom_type
797869307,ways_poly,,,,,,yes,,5.1364682,7.29452325,POLYGON
714680930,ways_poly,,,,,,yes,,5.1394029,7.30313805,POLYGON
711288920,ways_poly,,,FUTA BAKERY,,Staff Quarters Road,yes,,5.12948927598154,7.30456673024812,POLYGON
708271368,ways_poly,,,Recreative center,,,yes,,5.13224544624494,7.29965047959861,POLYGON
713609322,ways_poly,,,,,,yes,,5.14686409595752,7.29762593061114,POLYGON
793461361,ways_poly,,,,,,yes,,5.13526695,7.3047694,POLYGON
582042879,ways_poly,,,Lecture Building,,,yes,,5.12769860892366,7.30417255661201,POLYGON
711288903,ways_poly,,,Lecture Building,,,yes,,5.1270005,7.30518115,POLYGON
711288923,ways_poly,,,Lecture Building,,,yes,,5.12718201529655,7.30433972666926,POLYGON
716662947,ways_poly,,,,,,yes,,5.1481142,7.29306345,POLYGON
713609319,ways_poly,,,,,,yes,,5.1468687183899,7.29819574352733,POLYGON
713119761,ways_poly,,,,,,yes,,5.12751008333564,7.3024379252161,POLYGON
711288906,ways_poly,,,,,,yes,,5.12888722392727,7.30564010444499,POLYGON
584170114,ways_poly,,,,,,yes,,5.14828312450914,7.29379329633996,POLYGON
582042858,ways_poly,,,,,,yes,,5.12886886599844,7.30367182662473,POLYGON
473857963,ways_poly,,,,,,yes,,5.11945990028304,7.31537524750388,POLYGON
1169557933,ways_poly,,,,,,yes,,5.13441272718635,7.29601244849789,POLYGON
1169557937,ways_poly,,,,,,yes,,5.1378647,7.29950555,POLYGON
708271367,ways_poly,,,,,,yes,,5.1321167,7.29950995,POLYGON
792829431,ways_poly,,,,,,yes,,5.134472,7.29506825,POLYGON
708311030,ways_poly,,,Adamu Academic Staff Building,,,yes,,5.1345979332791,7.30137732517919,POLYGON
502937315,ways_poly,,,3-IN-1 LECTURE THEATRE,,,college,,5.13381290936128,7.30109709834826,POLYGON
714528667,ways_poly,,,Bus stop,,,yes,,5.13633094486718,7.30142042943478,POLYGON
708311023,ways_poly,,,Rest room,,,yes,,5.1360306,7.30209175,POLYGON
793356858,ways_poly,,,,,,yes,,5.13568306912872,7.3021772075088,POLYGON
1020772118,ways_poly,,,,,,yes,,5.1308453,7.29867595,POLYGON
1020772116,ways_poly,,,,,,yes,,5.12967895362124,7.29920306442242,POLYGON
1169557952,ways_poly,,,Shop,,,yes,,5.14197890276249,7.30202528396859,POLYGON
1169557954,ways_poly,,,Shop,,,yes,,5.1415480833719,7.30233714910287,POLYGON
1169557961,ways_poly,,,Shop,,,yes,,5.14128920669415,7.30265863449295,POLYGON
1169557966,ways_poly,,,Shop,,,yes,,5.1413118,7.3025884,POLYGON
1169557985,ways_poly,,,Shop,,,yes,,5.14169176639664,7.30224685304664,POLYGON
1021067584,ways_poly,,,,,,yes,,5.1312403,7.30294805,POLYGON
792822304,ways_poly,,,Bukar Ibrahim Lecture Theatre,,,school,,5.1361861350103,7.29802140898753,POLYGON
799307177,ways_poly,,,,,,yes,,5.14820337476528,7.29412217390172,POLYGON
502937326,ways_poly,,,T.I FRANCIS,,,yes,,5.13807267513129,7.30134490119465,POLYGON
794639337,ways_poly,,,,,,yes,,5.1292683,7.30701915,POLYGON
794639710,ways_poly,,,,,,yes,,5.12979669225257,7.3073273724385,POLYGON
794645112,ways_poly,,,,,,yes,,5.12331035,7.3034316,POLYGON
711288915,ways_poly,,,STAFF QUARTERS,,,yes,,5.12941635,7.30501515,POLYGON
712000489,ways_poly,,,STAFF QUARTERS,,,yes,,5.13082809139002,7.30655552078504,POLYGON
793775095,ways_poly,,,ABANDONED WAREHOUSE,,,warehouse,,5.14059388613433,7.30483587146211,POLYGON
712000507,ways_poly,,,Lecture House,,,yes,,5.13090352644847,7.30351588108581,POLYGON
712000511,ways_poly,,,Lecture House,,,yes,,5.1308792,7.30384875,POLYGON
708311025,ways_poly,,,,,,yes,,5.13414103017866,7.30144843148809,POLYGON
709616970,ways_poly,,,Heritage Bank,,,yes,,5.1389628,7.30027555,POLYGON
711288894,ways_poly,,,,,,yes,,5.12979645,7.3067025,POLYGON
709052028,ways_poly,,,Student Affairs Building,,,yes,,5.13830602452239,7.30091549494749,POLYGON
584170103,ways_poly,,,FUTA Staff School.,,,yes,,5.14743101198927,7.29581852093895,POLYGON
783273192,ways_poly,,,,,,yes,,5.1420951,7.3034341,POLYGON
716662945,ways_poly,,,,,,yes,,5.14798137503228,7.29587836141174,POLYGON
713604421,ways_poly,,,,,,yes,,5.145829,7.29428915,POLYGON
713604424,ways_poly,,,,,,yes,,5.14610188872819,7.29472792557376,POLYGON
713609325,ways_poly,,,,,,yes,,5.14643650510108,7.29828161821796,POLYGON
712000482,ways_poly,,,,,,yes,,5.1316032,7.30753545,POLYGON
711288896,ways_poly,,,,,,yes,,5.13066791855091,7.30695309973618,POLYGON
711288911,ways_poly,,,,,,yes,,5.12904293571983,7.30497822365586,POLYGON
